Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,BLR,IndiGo,06:05,07:45,1h 40m,"3,399",17-11-2024,Economy
BOM,BLR,IndiGo,06:05,07:45,1h 40m,"3,452",17-11-2024,Economy
BOM,BLR,IndiGo,02:30,04:05,1h 35m,"3,494",17-11-2024,Economy
BOM,BLR,IndiGo,06:05,07:45,1h 40m,"3,494",17-11-2024,Economy
BOM,BLR,IndiGo,02:30,04:05,1h 35m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,02:30,04:05,1h 35m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,06:05,07:45,1h 40m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,02:30,04:05,1h 35m,"3,641",17-11-2024,Economy
BOM,BLR,IndiGo,00:05,01:50,1h 45m,"3,494",17-11-2024,Economy
BOM,BLR,IndiGo,07:30,09:15,1h 45m,"3,494",17-11-2024,Economy
BOM,BLR,IndiGo,07:30,09:15,1h 45m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,07:30,09:15,1h 45m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,00:05,01:50,1h 45m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,00:05,01:50,1h 45m,"3,588",17-11-2024,Economy
BOM,BLR,IndiGo,00:05,01:50,1h 45m,"3,641",17-11-2024,Economy
BOM,BLR,IndiGo,07:30,09:15,1h 45m,"3,641",17-11-2024,Economy
BOM,BLR,IndiGo,09:05,10:45,1h 40m,"3,925",17-11-2024,Economy
BOM,BLR,IndiGo,09:05,10:45,1h 40m,"3,925",17-11-2024,Economy
BOM,BLR,IndiGo,09:05,10:45,1h 40m,"3,978",17-11-2024,Economy
BOM,BLR,IndiGo,11:30,13:15,1h 45m,"3,925",17-11-2024,Economy
BOM,BLR,IndiGo,11:30,13:15,1h 45m,"3,925",17-11-2024,Economy
BOM,BLR,IndiGo,11:30,13:15,1h 45m,"3,978",17-11-2024,Economy
BOM,BLR,IndiGo,12:45,14:35,1h 50m,"4,299",17-11-2024,Economy
BOM,BLR,IndiGo,12:45,14:35,1h 50m,"4,299",17-11-2024,Economy
BOM,BLR,IndiGo,12:45,14:35,1h 50m,"4,351",17-11-2024,Economy
BOM,BLR,IndiGo,14:15,16:05,1h 50m,"4,713",17-11-2024,Economy
BOM,BLR,IndiGo,14:15,16:05,1h 50m,"4,713",17-11-2024,Economy
BOM,BLR,IndiGo,02:30,04:05,1h 35m,"5,163",17-11-2024,Economy
BOM,BLR,IndiGo,06:05,07:45,1h 40m,"5,163",17-11-2024,Economy
BOM,BLR,IndiGo,10:15,12:10,1h 55m,"4,713",17-11-2024,Economy
BOM,BLR,IndiGo,10:15,12:10,1h 55m,"4,713",17-11-2024,Economy
BOM,BLR,IndiGo,14:15,16:05,1h 50m,"4,923",17-11-2024,Economy
BOM,BLR,IndiGo,07:30,09:15,1h 45m,"5,163",17-11-2024,Economy
BOM,BLR,IndiGo,00:05,01:50,1h 45m,"5,163",17-11-2024,Economy
BOM,BLR,IndiGo,10:15,12:10,1h 55m,"4,923",17-11-2024,Economy
BOM,BLR,IndiGo,09:05,10:45,1h 40m,"5,500",17-11-2024,Economy
BOM,BLR,IndiGo,11:30,13:15,1h 45m,"5,500",17-11-2024,Economy
BOM,BLR,IndiGo,12:45,14:35,1h 50m,"5,874",17-11-2024,Economy
BOM,BLR,IndiGo,14:15,16:05,1h 50m,"6,288",17-11-2024,Economy
BOM,BLR,IndiGo,10:15,12:10,1h 55m,"6,288",17-11-2024,Economy
