Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,CCU,Air India,05:55,08:30,2h 35m,"5,765",13-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"5,410",13-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"5,410",13-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"5,410",13-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"5,462",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"5,966",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"5,966",13-11-2024,Economy
BOM,CCU,Air India,05:55,08:30,2h 35m,"6,051",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,016",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,016",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,381",13-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,434",13-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,434",13-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"5,732",13-11-2024,Economy
BOM,CCU,Air India,06:50,09:30,2h 40m,"6,710",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"5,968",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"6,016",13-11-2024,Economy
CCU,BOM,Akasa Air,21:35,00:30,2h 55m,"6,395",13-11-2024,Economy
CCU,BOM,Akasa Air,21:35,00:30,2h 55m,"6,416",13-11-2024,Economy
CCU,BOM,Akasa Air,21:35,00:30,2h 55m,"6,416",13-11-2024,Economy
CCU,BOM,Akasa Air,23:35,02:30,2h 55m,"6,197",13-11-2024,Economy
CCU,BOM,Akasa Air,21:35,00:30,2h 55m,"6,516",13-11-2024,Economy
CCU,BOM,Akasa Air,23:35,02:30,2h 55m,"6,256",13-11-2024,Economy
CCU,BOM,Akasa Air,23:35,02:30,2h 55m,"6,271",13-11-2024,Economy
CCU,BOM,Akasa Air,23:35,02:30,2h 55m,"6,297",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"6,335",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"6,335",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"6,335",13-11-2024,Economy
CCU,BOM,IndiGo,21:45,00:50,3h 05m,"6,388",13-11-2024,Economy
CCU,BOM,Air India,20:40,23:40,3h,"6,809",13-11-2024,Economy
CCU,BOM,Akasa Air,21:35,00:30,2h 55m,"6,867",13-11-2024,Economy
