Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,MAA,Akasa Air,05:00,07:00,2h,"3,874",18-11-2024,Economy
BOM,MAA,Akasa Air,05:00,07:00,2h,"3,977",18-11-2024,Economy
BOM,MAA,Air India,05:15,07:15,2h,"4,191",18-11-2024,Economy
BOM,MAA,Akasa Air,05:00,07:00,2h,"4,157",18-11-2024,Economy
BOM,MAA,Akasa Air,05:00,07:00,2h,"4,302",18-11-2024,Economy
BOM,MAA,Air India,05:15,07:15,2h,"4,591",18-11-2024,Economy
BOM,MAA,Akasa Air,05:00,07:00,2h,"4,632",18-11-2024,Economy
BOM,MAA,IndiGo,08:30,10:25,1h 55m,"4,868",18-11-2024,Economy
BOM,MAA,IndiGo,10:00,11:55,1h 55m,"4,868",18-11-2024,Economy
BOM,MAA,IndiGo,12:05,13:55,1h 50m,"5,067",18-11-2024,Economy
BOM,MAA,IndiGo,06:35,08:35,2h,"4,868",18-11-2024,Economy
BOM,MAA,IndiGo,08:30,10:25,1h 55m,"5,067",18-11-2024,Economy
BOM,MAA,IndiGo,10:00,11:55,1h 55m,"5,067",18-11-2024,Economy
BOM,MAA,IndiGo,10:00,11:55,1h 55m,"5,100",18-11-2024,Economy
BOM,MAA,IndiGo,08:30,10:25,1h 55m,"5,100",18-11-2024,Economy
BOM,MAA,IndiGo,12:05,13:55,1h 50m,"5,267",18-11-2024,Economy
BOM,MAA,IndiGo,12:05,13:55,1h 50m,"5,310",18-11-2024,Economy
BOM,MAA,IndiGo,02:55,04:55,2h,"4,868",18-11-2024,Economy
BOM,MAA,IndiGo,06:35,08:35,2h,"5,067",18-11-2024,Economy
BOM,MAA,IndiGo,06:35,08:35,2h,"5,100",18-11-2024,Economy
MAA,BOM,IndiGo,22:30,00:35,2h 05m,"4,932",18-11-2024,Economy
MAA,BOM,IndiGo,20:30,22:40,2h 10m,"4,932",18-11-2024,Economy
MAA,BOM,IndiGo,19:00,21:10,2h 10m,"4,932",18-11-2024,Economy
MAA,BOM,IndiGo,22:30,00:35,2h 05m,"5,132",18-11-2024,Economy
MAA,BOM,IndiGo,22:30,00:35,2h 05m,"5,150",18-11-2024,Economy
MAA,BOM,IndiGo,16:40,18:55,2h 15m,"4,932",18-11-2024,Economy
MAA,BOM,IndiGo,20:30,22:40,2h 10m,"5,132",18-11-2024,Economy
MAA,BOM,IndiGo,19:00,21:10,2h 10m,"5,132",18-11-2024,Economy
MAA,BOM,IndiGo,20:30,22:40,2h 10m,"5,150",18-11-2024,Economy
MAA,BOM,IndiGo,19:00,21:10,2h 10m,"5,150",18-11-2024,Economy
MAA,BOM,Air India,20:30,22:35,2h 05m,"5,468",18-11-2024,Economy
MAA,BOM,IndiGo,16:40,18:55,2h 15m,"5,132",18-11-2024,Economy
MAA,BOM,IndiGo,16:40,18:55,2h 15m,"5,150",18-11-2024,Economy
MAA,BOM,Air India,20:25,22:45,2h 20m,"5,250",18-11-2024,Economy
MAA,BOM,Air India,21:00,23:25,2h 25m,"5,338",18-11-2024,Economy
MAA,BOM,Air India,20:30,22:35,2h 05m,"5,870",18-11-2024,Economy
MAA,BOM,Air India,20:25,22:45,2h 20m,"5,643",18-11-2024,Economy
MAA,BOM,Air India,21:00,23:25,2h 25m,"5,735",18-11-2024,Economy
MAA,BOM,Air India,15:25,17:35,2h 10m,"6,237",18-11-2024,Economy
MAA,BOM,IndiGo,22:30,00:35,2h 05m,"6,429",18-11-2024,Economy
