Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,CCU,Air India,05:55,08:30,2h 35m,"8,021",04-11-2024,Economy
BOM,CCU,Air India,06:50,09:30,2h 40m,"9,638",04-11-2024,Economy
BOM,CCU,Vistara,06:50,09:30,2h 40m,"9,202",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,708",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,708",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"6,757",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"6,757",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"7,036",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"7,089",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"7,089",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,207",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,257",04-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"7,030",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,562",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,562",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,562",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"7,615",04-11-2024,Economy
BOM,CCU,Air India,05:55,08:30,2h 35m,"8,021",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"7,747",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"7,796",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"7,752",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"8,204",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"8,204",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"7,805",04-11-2024,Economy
BOM,CCU,Air India,05:55,08:30,2h 35m,"8,277",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"8,130",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"8,130",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"8,130",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"8,067",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"8,067",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"8,067",04-11-2024,Economy
BOM,CCU,IndiGo,09:40,12:20,2h 40m,"8,183",04-11-2024,Economy
BOM,CCU,IndiGo,03:00,05:35,2h 35m,"8,120",04-11-2024,Economy
BOM,CCU,IndiGo,06:10,08:40,2h 30m,"8,611",04-11-2024,Economy
BOM,CCU,IndiGo,13:35,16:05,2h 30m,"8,611",04-11-2024,Economy
BOM,CCU,Air India,06:50,09:30,2h 40m,"9,638",04-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"7,865",04-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"7,865",04-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"7,961",04-11-2024,Economy
BOM,CCU,SpiceJet,07:55,10:50,2h 55m,"9,106",04-11-2024,Economy
BOM,CCU,Akasa Air,01:20,04:10,2h 50m,"8,141",04-11-2024,Economy
BOM,CCU,IndiGo,07:45,10:25,2h 40m,"8,704",04-11-2024,Economy
BOM,CCU,Vistara,06:50,09:30,2h 40m,"9,202",04-11-2024,Economy
